id,first_name,second_name,total_points,value_season
348,Diogo,Jota,105,17.5
349,Rui Pedro,dos Santos Patrício,153,28.9
350,Rúben Diogo,da Silva Neves,97,18.7
351,João Filipe Iria,Santos Moutinho,113,21.3
352,Morgan,Gibbs-White,11,2.3
353,Adama,Traoré,130,23.2
354,Leander,Dendoncker,100,22.7
355,Leandro,Trossard,104,17.9
356,André Filipe,Tavares Gomes,39,7.5
357,Chris,Basham,123,26.7
358,Emiliano,Martínez,33,7.5
359,Wesley,Moraes,67,12.4
360,Jed,Steer,1,0.2
361,Aaron,Lennon,15,3.3
362,Christian,Pulisic,127,17.2
363,Mateo,Kovacic,68,12.8
364,James,Justin,35,7.4
365,Josip,Drmic,26,4.9
366,Patrick,Roberts,3,0.6
367,Simon,Moore,3,0.7
368,Che,Adams,78,14.7
369,Moussa,Djenepo,40,7.7
370,Craig,Dawson,61,12.7
371,José Ángel,Esmorís Tasende,11,2.4
372,Luke,Freeman,13,2.6
373,Tanguy,Ndombele,45,7.8
374,Rodrigo,Hernandez,92,17.4
375,Phil,Jagielka,6,1.5
376,Tyrone,Mings,90,20.5
377,Jack,Stacey,39,9.1
378,Erik,Pieters,77,17.9
379,Youri,Tielemans,117,19.2
380,Ralf,Fahrmann,1,0.2
381,Roberto,Jimenez Gago,18,4.1
382,Jay,Rodriguez,100,17.5
383,Ezri,Konsa Ngoyo,65,15.1
384,Callum,Robinson,33,6.7
385,Sam,Byram,32,7.4
386,Bjorn,Engels,42,9.8
387,Ravel,Morrison,1,0.2
388,Sébastien,Haller,102,15
389,Frédéric,Guilbert,62,14.4
390,Kurt,Zouma,62,13.2
391,Tammy,Abraham,153,21
392,Michy,Batshuayi,28,4.2
393,Mason,Mount,137,22.8
394,Mahmoud Ahmed,Ibrahim Hassan,98,18.8
395,Joelinton Cássio,Apolinário de Lira,78,14.2
396,Calum,Chambers,42,9.8
397,Jordan,Ayew,132,25.9
398,Daniel,Ceballos Fernández,57,11
399,Douglas Luiz,Soares de Paulo,90,20.9
400,Dean,Henderson,160,30.8
401,Ben,Osborn,19,4
402,Jesús,Vallejo Lázaro,1,0.2
403,Dan,Burn,86,19.1
404,Philip,Billing,68,13.9
405,Mason,Holgate,71,16.9
406,Axel,Tuanzebe,7,1.6
407,Cédric,Soares,61,12.7
408,Patrick,Cutrone,23,4.3
409,Nicolas,Pépé,106,11.9
410,Reiss,Nelson,30,5.7
411,Joseph,Willock,41,8.7
412,Marvelous,Nakamba,43,9.8
413,Arnaut,Danjuma Groeneveld,24,4.1
414,Adam,Webster,88,20
415,Aaron,Ramsdale,126,28.6
416,Moise,Kean,53,8.4
417,Jean-Philippe,Gbamin,4,0.8
418,Jetro,Willems,64,14.9
419,Allan,Saint-Maximin,92,17.7
420,Oliver,McBurnie,86,15.6
421,Neal,Maupay,131,23
422,Gary,Cahill,70,16.3
423,Gabriel Teodoro,Martinelli Silva,39,9.3
424,Harry,Wilson,91,16
425,Reece,James,61,12.4
426,Ibrahim,Amadou,18,4
427,Sofiane,Boufal,34,6.2
428,Troy,Parrott,2,0.5
429,Víctor,Camarasa,1,0.2
430,Djibril,Sidibé,74,14.8
431,Danny,Welbeck,39,6.7
432,Albian,Ajeti,9,1.6
433,Kieran,Tierney,42,7.9
434,Aaron,Mooy,80,17
435,Dennis,Praet,54,10.4
436,João Pedro Cavaco,Cancelo,45,8.8
437,Emil,Krafth,37,8.6
438,Andy,Carroll,34,6.3
439,Muhamed,Bešić,9,2.1
440,Giovani,Lo Celso,54,7.4
441,Ryan,Sessegnon,9,1.7
442,Ismaïla,Sarr,107,18.1
443,Adrián,San Miguel del Castillo,27,6.8
444,Georges-Kévin,Nkoudou,1,0.2
445,Pedro,Lomba Neto,57,11.6
446,Fikayo,Tomori,48,11.4
447,Kevin,Danso,9,2.1
448,Billy,Gilmour,9,2.2
449,Aaron,Connolly,61,14.5
450,Steven,Alzate,33,7.5
451,Adam,Idah,13,3
452,Jairo,Riedewald,22,4.9
453,Matthew,Longstaff,27,6
454,Bukayo,Saka,71,15.1
455,Dimitri,Foulquier,1,0.3
456,Eric,Garcia,38,8.4
457,Ezequiel,Schelotto,9,2.3
458,Leon,Clarke,2,0.5
459,Brandon,Williams,51,13.4
460,Harvey,Elliott,2,0.4
461,Akin,Famewo,1,0.3
462,David,Martin,20,5.1
463,Dwight,Gayle,58,11.6
464,Anthony,Gordon,17,3.8
465,Nathan,Holland,2,0.5
466,Curtis,Jones,13,2.9
467,Oumar,Niasse,3,0.7
468,Neco,Williams,14,3.5
469,Emile,Smith Rowe,4,0.9
470,Tyrick,Mitchell,4,1
471,Brandon,Pierrick,2,0.4
472,Japhet,Tanganga,17,4.4
473,William,Smallbone,24,5.3
474,Tariq,Lamptey,26,6.3
475,Takumi,Minamino,11,1.9
476,Jack,Rodwell,1,0.2
477,João Pedro,Junqueira de Jesus,3,0.6
478,Jeremy,Ngakia,8,2
479,Kelland,Watts,1,0.3
480,Indiana,Vassilev,4,0.9
481,Ondrej,Duda,24,5.5
482,Lukas,Rupp,19,4.3
483,José,Reina,41,9.8
484,Ignacio,Pussetto,6,1.3
485,Gedson,Carvalho Fernandes,7,1.5
486,Darren,Randolph,3,0.8
487,Bruno André,Cavaco Jordao,1,0.2
488,Jack,Robinson,14,3.5
489,Nabil,Bentaleb,19,4
490,Mbwana,Samatta,29,5.7
491,Valentino,Lazaro,19,3.6
492,Steven,Bergwijn,43,6.2
493,Tomas,Soucek,41,8.5
494,Pablo,Marí,8,1.8
495,Bruno Miguel,Borges Fernandes,117,13
496,Daniel,Castelo Podence,25,5.1
497,Josh,Brownhill,21,4.4
498,Sander,Berge,40,8.5
499,Richairo,Zivkovic,5,1.1
500,Borja,González Tomás,2,0.4
501,Odion,Ighalo,11,1.9
502,Jarrod,Bowen,44,6.9
503,Alexis,Mac Allister,12,2.2
504,Faustino,Anjorin,1,0.2
505,Armando,Broja,1,0.2
506,Josh,Martin,5,1.1
507,Nathan,Tella,1,0.2
508,Jarrad,Branthwaite,11,2.8
509,Max,Thompson,1,0.2
510,Tommy,Doyle,1,0.2
511,Jake,Vokins,2,0.5
512,Jordan,Thomas,1,0.2
513,Timothy,Fosu-Mensah,7,1.6
514,Luke,Thomas,15,3.8
515,George,Hirst,2,0.4
